ลำดับ,เลขทะเบียนโรงงาน,ชื่อโรงงาน,ประกอบกิจการ,เลขที่,หมู่,ซอย,ถนน,ตำบล,อำเภอ,จังหวัด,ไปรษณีย์,โทรศัพท์,เงินทุนรวม,คนงาน,แรงม้า
556,3-105-3/55อย,ห้างหุ้นส่วนจำกัด วรรณปราการ ทรานสปอร์ต กรุ๊ป,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายจากโรงงานอุตสาหกรรม,เลขที่ 370,2,-,โรจนะ-อุทัย,สามเรือน,บางปะอิน,พระนครศรีอยุธยา,13160.0,035-227340,4000000,11,0.0
557,3-105-31/54อย,เอส.ดี. พลาสติกรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นอันตราย คัดแยกเศษพลาสติกที่ไม่ใช้แล้วที่ไม่เป็นอันตราย,เลขที่ 5/1,5,หมอเขียว,-,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,035 353828,6000000,8,0.0
558,3-105-32/48อย,ห้างหุ้นส่วนจำกัด เอ็ม. พี. เอ็นเตอร์ไพรส์ (2005),คัดแยกวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นอันตรายตามประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 45/9,4,-,-,บางพระครู,นครหลวง,พระนครศรีอยุธยา,13260.0,,2200000,7,90.0
559,3-105-33/56อย,บริษัท สยาม บาน เล็ก สแคร็ป ไอเอิน จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 3762,6,-,บางปะหัน-นครหลวง,บางปะหัน,บางปะหัน,พระนครศรีอยุธยา,13220.0,,13000000,10,0.0
560,3-105-36/49อย,บริษัท เอเซียน คังเกียว เซอร์วิส จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูล หรือวัสดุที่ไม่ใช้แล้ว,เลขที่ 59,5, -,จอมพล ป. พิบูลย์สงคราม,ตลิ่งชัน,บางปะอิน,พระนครศรีอยุธยา,13160.0,035-236613-4,9700000,6,0.0
561,3-105-36/56อย,ห้างหุ้นส่วนจำกัด ศุภมงคล พลาสติก,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 112,10,-,-,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210.0,"097,4156565, 098-9874556",14000000,10,0.0
562,3-105-37/49อย,บริษัท ส. พลาสติก อยุธยา จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เช่น เศษโลหะ เศษกระดาษ เศษพลาสติก เศษโฟม เป็นต้น,เลขที่ -,8,รักวงศ์วาน,,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,083-0772754,2300000,8,0.0
563,3-105-37/59อย,บริษัท ยามานากะ อินเตอร์เนชั่นแนล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย และอัดเศษโลหะ,เลขที่ 1/86,5,,,คานหาม,อุทัย,พระนครศรีอยุธยา,24130.0,,30000000,6,634.0
564,3-105-37/61อย,บริษัท โก กรีน เวส เมเนจเม้นท์ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 72,6,,,สามเรือน,บางปะอิน,พระนครศรีอยุธยา,13160.0,,8000000,7,95.0
565,3-105-4/46อย,ห้างหุ้นส่วนจำกัด ตรีเกษม รีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วตามที่กำหนดไว้ในหมวด 1 ข้อ 1,เลขที่ 6/9,3,-,-,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210.0,,0,0,30.0
566,3-105-4/47อย,บริษัท วานิช อิควิปเม้นท์ จำกัด,คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ตัดและอัดเศษโลหะ บดหรือฉีดเศษพลาสติก,เลขที่ ,, -,หนองแค-อุทัย,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210.0,0 2538 9263,26000000,10,66.7
567,3-105-4/53อย,ห้างหุ้นส่วนจำกัด ที.ซี.ไอ.รีไพล อินดัสเทรียล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ -,1,-,-,บ้านช้าง,อุทัย,พระนครศรีอยุธยา,13210.0,,4700000,12,24.0
568,3-105-4/56อย,บริษัท โชคสกุลชัยรีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย เช่น เศษเหล็ก เศษพลาสติก เศษกระดาษ และเศษโลหะ,เลขที่ -,10,-,-,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210.0,,3000000,9,96.0
569,3-105-4/58อย,บริษัท กิจเจริญรีไซเคิล จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 55/3,3,,,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210.0,092-942-1276,1400000,10,44.5
570,3-105-4/59อย,ห้างหุ้นส่วนจำกัด พัชรพล อาร์คิเทคเชอร์,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 60/1,2,,,สามเรือน,บางปะอิน,พระนครศรีอยุธยา,13210.0,081-8517476,11600000,9,465.0
571,3-105-40/59อย,บริษัท วงษ์พาณิชย์รีไซคลิ่ง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย สำหรับอุตสาหกรรมในชุมชน,เลขที่ 71,4,,,คลองจิก,บางปะอิน,พระนครศรีอยุธยา,13160.0,0 3570 8501,8000000,28,285.0
572,3-105-44/48อย,วิทยาโลหะกิจ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ในภาคผนวกที่ 1 ของบัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ เศษกระดาษ และบดพลาสติก,เลขที่ -,3,-,สายอุทัย-ภาชี,เสนา,อุทัย,พระนครศรีอยุธยา,13210.0,,3650000,7,25.0
573,3-105-48/48อย,ห้างหุ้นส่วนจำกัด ตรีประชานารถ ซัพพลาย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ เศษพลาสติกและกระดาษ,เลขที่ 1/7,12,-,-,ข้าวเม่า,อุทัย,พระนครศรีอยุธยา,13210.0,,2000000,10,90.0
574,3-105-48/49อย,บริษัท สำเภาทองค้าเหล็ก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดพลาสติก อัดกระดาษ และอัดเศษโลหะ,เลขที่ 188/2,6, -, -,บ้านชุ้ง,นครหลวง,พระนครศรีอยุธยา,13260.0,,4200000,10,90.0
575,3-105-49/54อย,บริษัท อุตสาหกรรมกระดาษไทย จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย แยกชิ้นส่วนเศษสายไฟฟ้า,เลขที่ -,2,-,คันกั้นน้ำคลองเจ้าเจ็ด-บางยี่หน,เต่าเล่า,บางซ้าย,พระนครศรีอยุธยา,13270.0,851131603,1300000,8,0.0
576,3-105-5/46อย,ห้างหุ้นส่วนจำกัด เอส.ที.รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เลขที่ 45,4,-,-,สามบัณฑิต,อุทัย,พระนครศรีอยุธยา,13210.0,,2000000,10,22.0
577,3-105-5/49อย,ห้างหุ้นส่วนจำกัด เจแอนด์เจ สแครป แอนด์ รีไซเคิล เซอร์วิส,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) อัดเศษโลหะ อัดกระดาษ บดพลาสติก,เลขที่ 230/1,1, -, -,อุทัย,อุทัย,พระนครศรีอยุธยา,13210.0,035-711559-65,26000000,15,90.0
578,3-105-51/47อย,ห้างหุ้นส่วนจำกัด เอ็ม.อาร์.เซพพาเรทเตอร์,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เลขที่ 15,2,,,สนับทึบ,วังน้อย,พระนครศรีอยุธยา,13170.0,,800000,10,10.0
579,3-105-59/48อย,ห้างหุ้นส่วนจำกัด น้องเทคนิค รีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดพลาสติก อัดเศษโลหะ และอัดกระดาษ,เลขที่ 111/19,2,-,อุดมสรยุทธิ์,คลองจิก,บางปะอิน,พระนครศรีอยุธยา,13160.0,,1300000,7,4.0
580,3-105-6/46อย,บริษัท ส.พลาสติก อยุธยา จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1(พ.ศ.2541) อัดเศษโลหะ พลาสติก และโฟม บดและทำเม็ดพลาสติกเกรดบี ซ่อมและล้างถังบรรจุด้วยตัวทำละลาย ซ่อมแซม ดัดแปลง ปรับปรุงเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์,เลขที่ 50/10,8,-,-,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,,2500000,14,28.0
581,3-105-6/53อย,บริษัท นนทพลัส กรุ๊ป 2008 จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย,เลขที่ ,4,-,-,อุทัย,อุทัย,พระนครศรีอยุธยา,13210.0,,7000000,14,20.0
582,3-105-6/56อย,บริษัท ทรี โปรอินเตอร์เทรด จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 23000,8,-,โรจนะ,ลำตาเสา,วังน้อย,พระนครศรีอยุธยา,13170.0,035-719001,9400000,15,0.0
583,3-105-61/47อย,รุ่งเรืองรีไซเคิล,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชี,เลขที่ 11/3,7,-,-,สามตุ่ม,เสนา,พระนครศรีอยุธยา,13110.0,,2100000,20,43.0
584,3-105-64/59อย,ห้างหุ้นส่วนจำกัด หมื่นแก้ว,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดเลขที่ 27095,2,,,หนองน้ำส้ม,อุทัย,พระนครศรีอยุธยา,60000.0,,1815000,2,85.0
585,3-105-64/61อย,นางสาวสุคนธ์ แสนคำพล,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 24/1,3,,,คลองพระยาบันลือ,ลาดบัวหลวง,พระนครศรีอยุธยา,13230.0,,400000,10,150.0
586,3-105-68/47อย,ห้างหุ้นส่วนจำกัด จอมภพรีไซเคิล,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 12/1,4,-,-,คุ้งลาน,บางปะอิน,พระนครศรีอยุธยา,13160.0,"035-708212,094-9955649",1300000,7,0.0
587,3-105-68/61อย,นางทิพาพรรณ กรอบทอง,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 2398,9,,,บ้านป้อม,พระนครศรีอยุธยา,พระนครศรีอยุธยา,13000.0,,3250000,12,92.0
588,3-105-7/46อย,บริษัท ศุภฤกษ์ พลาสติก จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 4-4/1,1,-,-,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,0 3525  5297,3250000,8,107.0
589,3-105-7/55อย,นิลเนตร โลหะการ,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 88/1,1,-,-,โคกม่วง,ภาชี,พระนครศรีอยุธยา,13140.0,061-8951523,400000,12,7.0
590,3-105-7/61อย,บริษัท เย็นศิริ รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย ,เลขที่ 40,4,,,สามเรือน,บางปะอิน,พระนครศรีอยุธยา,13160.0,,14050000,8,4.0
591,3-105-70/48อย,บริษัท พรหมบถ จำกัด,คัดแยกของเสียหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว,เลขที่ 155,4, -, -,พยอม,วังน้อย,พระนครศรีอยุธยา,13170.0,,8000000,9,0.0
592,3-105-71/48อย,บริษัท กิตติศักดิ์ รีไซเคิล แอนด์ เซอร์วิส จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายกฏกระทรวงอุตสาหกรรม ฉบับที่ 1(พ.ศ.2541),เลขที่ 89/8,8, -, -,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,,11000000,8,0.0
593,3-105-75/54อย,ห้างหุ้นส่วนจำกัด เอส ไอ เอส ซัพพลาย,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 738,2,,,สะพานไทย,บางบาล,พระนครศรีอยุธยา,13250.0,,3000000,10,0.0
594,3-105-75/59อย,บริษัท ถุงเงินรุ่งเรือง จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 21/6,2,,,เสนา,อุทัย,พระนครศรีอยุธยา,13210.0,081-8707315,5000000,12,20.0
595,3-105-76/60อย,บริษัท ทิบหิรัญ โลหะการ จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 104/9,4,,,ชะแมบ,วังน้อย,พระนครศรีอยุธยา,13170.0,,3970000,4,72.5
596,3-105-79/47อย,บริษัท สมบุญโชคนำชัย จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วตามที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541),เลขที่ 53/1,4,-,-,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,-,1000000,5,0.0
597,3-105-8/55อย,บริษัท ทรัพย์เย็นรุ่งเรือง จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 17,2,-,เลียบคลองชลประทาน,หนองน้ำส้ม,อุทัย,พระนครศรีอยุธยา,13210.0,086-8211325,3300000,12,0.0
598,3-105-81/50อย,บริษัท ปู่ประทานพร จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ที่ไม่เป็นของเสียอันตราย เช่น พลาสติก โลหะทุกชนิด ไม้ กระดาษ จากโรงงาน,เลขที่ 89/4/,8, -, -,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,,11000000,8,0.0
599,3-105-85/49อย,โฮม พลาสติก,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย บดย่อยพลาสติก อัดกระดาษ และอัดเศษโลหะ,เลขที่ 175,4, -, -,พยอม,วังน้อย,พระนครศรีอยุธยา,13170.0,081-9150717,5000000,12,90.0
600,3-105-9/47อย,บริษัท แก้วกรุงไทย จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 8,2,-,พหลโยธิน,ลำไทร,วังน้อย,พระนครศรีอยุธยา,13170.0,035-287101-5,43000000,25,163.0
601,3-105-90/47อย,บริษัท ท.ไทยรัก จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตรายเฉพาะหมวด 1 ข้อ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1(พ.ศ.2541),เลขที่ 31,7,-,-,พุทเลา,บางปะหัน,พระนครศรีอยุธยา,13220.0,,7500000,10,90.0
602,3-105-91/47อย,บริษัท พงษ์ศักดิ์ไชยท่าลาน จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้วจากโรงงานอุตสาหกรรม,เลขที่ 8/8,1,-,-,บ้านโพ,บางปะอิน,พระนครศรีอยุธยา,13160.0,-,219000000,15,950.0
603,3-105-91/59อย,บริษัท โอโซน รีไซเคิล จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ 108,3,,,สามเรือน,บางปะอิน,พระนครศรีอยุธยา,13160.0,,10000000,27,126.0
604,3-105-94/59อย,บริษัท เอฟทีเอ (ประเทศไทย) จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย,เลขที่ โฉนดที่ดินเลขที่ 11948,3,,,บางปะหัน,บางปะหัน,พระนครศรีอยุธยา,13160.0,089-0794471,1900000,7,59.0
605,3-105-97/48อย,บริษัท เอ็น แอนด์ เอ็น เปเปอร์ จำกัด,คัดแยกสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว เฉพาะที่กำหนดไว้ในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัสดุที่ไม่ใช้แล้ว ท้ายประกาศกระทรวงอุตสาหกรรมฉบับที่ 1 (พ.ศ.2541)และอัดกระดาษ,เลขที่ 13/2,1, -, -,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,,11500000,9,4.0
606,3-105-99/47อย,บริษัท อาร์.ที.ดี.อินเตอร์ กรุ๊ป จำกัด,คัดแยกวัสดุที่ไม่ใช้แล้วเฉพาะที่กำหนดในหมวด 1 ข้อ 1 ของภาคผนวกที่ 1 บัญชีสิ่งปฏิกูลหรือวัดสุที่ไม่ใช้แล้วท้ายประกาศกระทรวงอุตสาหกรรม ฉบับที่ 1 (พ.ศ.2541) บดย่อยพลาสติก ดัดแปลง ซ่อม ประกอบคอมพิวเตอร์ เครื่องใช้ไฟฟ้าและอุปกรณ์อิเลคทรอนิกส์,เลขที่ 66,8,-,พหลโยธิน,เชียงรากน้อย,บางปะอิน,พระนครศรีอยุธยา,13180.0,,15000000,20,48.47
607,3-106-10/49อย,บริษัท สามดี รีไซเคิล จำกัด,ปรับปรุงคุณภาพน้ำมันหล่อลื่นใช้แล้ว ตัวทำละลาย เคมีภัณฑ์ที่ใช้แล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่ ซ่อมและล้างถังบรรจุด้วยตัวทำละลาย ซ่อมแซม ดัดแปลง ปรับปรุงเครื่องใช้ไฟฟ้าและอุปกรณ์อิเล็กทรอนิกส์ นำเศษผ้าปนเปื้อน กากตะกอนน้ำมัน ดินปนเปลื้อน น้ำมันมาทำเชื้อเพลิงผสม (Blending),เลขที่  -,3, -,พหลโยธิน,ชะแมบ,วังน้อย,พระนครศรีอยุธยา,13170.0,,1800000,12,61.6
608,3-106-117/60อย,บริษัท อยุธยาพลังงานสะอาด จำกัด,ผลิตเชื้อเพลิงทดแทนจากผลิตภัณฑ์อุตสาหกรรมที่ไม่ใช้แล้ว,เลขที่ 49,2,,,กะทุ่ม,มหาราช,พระนครศรีอยุธยา,13150.0,035 9022514,423600000,34,7727.85
609,3-106-14/49อย,บริษัท ซีเอชเค อินเตอร์ จำกัด,ปรับปรุงคุณภาพน้ำมันหล่อลื่น ตัวทำละลายที่ใช้แล้ว เพื่อนำกลับมาใช้ประโยชน์ใหม่ ซ่อมและล้างถังบรรจุด้วยตัวทำละลาย ซ่อมแซม ดัดแปลง ปรับปรุงเครื่องใช้ไฟฟ้าและอิเล็กทรอนิกส์ นำเศษผ้าปนเปื้อน กากตะกอนน้ำมัน และดินปนเปื้อนน้ำมันมาทำเชื้อเพลิงผสม คัดแยกวัสดุที่ไม่ใช้แล้วที่ไม่เป็นของเสียอันตราย เฉพาะเศษโลหะ กระดาษ พลาสติก ไม้ แก้ว และยาง,เลขที่ 17/2,10, -,สายบางปะหัน-ปทุมธานี,ปากกราน,พระนครศรีอยุธยา,พระนครศรีอยุธยา,13000.0,,6500000,8,4.8
610,3-106-14/58อย,บริษัท ทรี โปร อินเตอร์เทรด จำกัด,นำกากตะกอนโลหะมีค่ามาผ่านกระบวนการกรรมวิธีทางอุตสาหกรรม โดยการอบแห้ง บดย่อยโลหะแผงวงจร ชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ หล่อหลอมเศษโลหะมีค่า เช่น ทองคำ เงิน เป็นต้น หล่อหลอมเศษและตะกรันโลหะ เช่น ตะกรันอลูมิเนียม ตะกรันสังกะสี,เลขที่ 168,8,,,ลำตาเสา,วังน้อย,พระนครศรีอยุธยา,13170.0,035-230124-5,15000000,33,482.0
611,3-106-15/50อย,บริษัท โลหะไทยสเตนเลส จำกัด,บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์ บดย่อยเศษและตะกรันโลหะและอัดเศษโลหะปนเปื้อนน้ำมัน,เลขที่ 10/2,3, -, -,ปากท่า,ท่าเรือ,พระนครศรีอยุธยา,13130.0,02-4595449-53,0,7,106.0
612,3-106-16/50อย,บริษัท ทีอีเอส.เอเอ็มเอ็ม (ประเทศไทย) จำกัด,บดย่อยชิ้นส่วนอุปกรณ์อิเล็กทรอนิกส์,เลขที่ 261,5, -,พหลโยธิน,ลำไทร,วังน้อย,พระนครศรีอยุธยา,13170.0,,2650000,14,107.5
613,3-106-17/59อย,บริษัท ฮีดากา เวสต์ แมนเนจเมนท์ จำกัด,นำน้ำมันหล่อลื่นที่ใช้แล้วและตัวทำละลายที่ใช้แล้ว มาผ่านกรรมวิธีทางอุตสาหกรรมเพื่อนำกลับมาใช้เป็นเชื้อเพลิงทดแทน น้ำมันทาไม้แบบ น้ำมันหยอดทิ้ง ทำเชื้อเพลิงผสม รีไซเคิลไส้กรองน้ำมัน ซ่อมและล้างบรรจุภัณฑ์ด้วยตัวทำละลาย,เลขที่ 116/1,2,,,เสนา,อุทัย,พระนครศรีอยุธยา,10260.0,"086-3580259,02-7441400",30000000,9,365.0
614,3-106-2/61อย,บริษัท โกลเด้นดีพ (ประเทศไทย) จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้า-อิเล็กทรอนิกส์ ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นใช้แล้วหรือตัวทำละลายใช้แล้ว บดย่อยเศษและตะกรันโลหะผสมจากการบัดกรี,เลขที่ 152,8,,,ลำตาเสา,วังน้อย,พระนครศรีอยุธยา,12000.0,,8000000,6,89.0
615,3-106-27/51อย,บริษัท ไออาร์อาร์ คอร์เปอร์เรชั่น จำกัด,ปรับปรุงคุณภาพผลิตภัณฑ์ปิโตรเลียมที่ปนเปื้อน น้ำมันเตาที่ปนเปื้อน น้ำมันหล่อลื่นที่ใช้แล้ว ตัวทำละลายอินทรีย์ที่ใช้แล้ว และกากตะกอนน้ำมันจากเรือเดินสมุทร รวมทั้งโคลนและกรวดจากการสำรวจและผลิตปิโตรเลียม และกากตะกอนน้ำมันที่เกิดจากการทำความสะอาดแทงค์ฟาร์ม ทั้งทางบกและทางทะเล เพื่อนำมาผลิตเป็นเชื้อเพลิงผสม ผลิตน้ำมันสังเคราะห์จากพลาสติกไม่ใช้แล้วด้วยกระบวนการไพโรไลซิส (Pyrolysis),เลขที่ 129/56,3,-,-,วังจุฬา,วังน้อย,พระนครศรีอยุธยา,13170.0,,120000000,27,1914.01
616,3-106-29/50อย,บริษัท ฟักทอง เอ็นเตอร์ไพรส์ จำกัด,ทำเชื้อเพลิงทดแทนจากน้ำมันหล่อลื่นที่ใช้แล้ว และตัวทำละลายที่ใช้แล้ว ซ่อมและล้างถังบรรจุภัณฑ์ด้วยตัวทำละลาย,เลขที่ ,12,-,-,อุทัย,อุทัย,พระนครศรีอยุธยา,13210.0,,9500000,25,48.5
617,3-106-3/54อย,บริษัท ซีฟี้ อินดัสตรี้ จำกัด,บดย่อยชิ้นส่วนอุปกรณ์ไฟฟ้าและอิเล็กทรอนิกส์ สกัดโลหะมีค่าจากกากตะกอนอุตสาหกรรมชุบโลหะและอุตสาหกรรมอิเล็กทรอนิกส์ที่มีองค์ประกอบของโลหะมีค่า หลอมหล่อโลหะผสมจากโลหะมีค่าที่ผ่านกระบวนการสกัดโลหะมีค่าแล้ว และจากชิ้นส่วนอุปกรณ์ไฟฟ้าอิเล็กทรอนิกส์ที่บดย่อยแล้ว,เลขที่ 108,2,-,-,ลาดบัวหลวง,ลาดบัวหลวง,พระนครศรีอยุธยา,13230.0,,66100000,17,1126.0
